year,category,height_average,height_standard deviation,body weight _average,body weight _standard deviation
5,national,111,4.87,19.3,2.79
5,Hokkaido,111.3,4.81,19.3,2.83
5,Aomori,111.8,4.87,19.9,2.78
5,Iwate,111,5.08,19.6,3.02
5,Miyagi,111.3,4.9,19.7,3.04
5,Akita,112.3,5.08,19.9,3.16
5,Yamagata,111.5,4.46,19.5,3.05
5,Fukushima,111,4.83,19.7,3.34
5,Ibaraki,110.8,4.94,19.4,3.03
5,Tochigi,110.8,4.63,19.4,2.83
5,Gunma,111.3,5.09,19.6,3.08
5,Saitama,110.5,4.93,19.1,2.75
5,Chiba,111.1,4.67,19.3,2.57
5,Tokyo,111.2,4.67,19.2,2.65
5,Kanagawa,110.8,4.93,19.4,3
5,Niigata,111.7,4.71,19.5,2.55
5,Toyama,111.4,4.86,19.3,2.75
5,Ishikawa,112.4,5.29,19.7,2.89
5,Fukui,111.7,4.98,19.4,3.32
5,Yamanashi,110.4,4.95,19.2,2.84
5,Nagano,111.1,4.81,19,2.84
5,Gifu,111.1,5.03,19.2,3.06
5,Shizuoka,110.8,4.94,19.1,2.78
5,Aichi,110.7,4.77,19,2.55
5,Mie,110.8,4.81,19.3,2.79
5,Shiga,110.6,5.03,19.1,2.67
5,Kyoto,111.6,4.94,19.3,2.79
5,Osaka,111.2,4.84,19.2,2.58
5,Hyogo,111.6,5,19.5,2.79
5,Nara,111,4.63,19.3,2.61
5,Wakayama,111,4.51,19.2,2.41
5,Tottori,110.5,4.55,18.9,2.61
5,Shimane,110.3,5.01,19,2.83
5,Okayama,110.6,4.86,19.1,2.84
5,Hiroshima,111.5,5.09,19.6,2.76
5,Yamaguchi,110.7,4.73,19.2,2.78
5,Tokushima,110.3,4.53,19.4,2.66
5,Kagawa,110.8,5.22,19.4,2.77
5,Ehime,110.5,4.89,19.2,2.95
5,Kochi,110.4,4.48,18.9,2.3
5,Fukuoka,110.8,4.97,19.2,2.62
5,Saga,110.8,4.86,19.3,2.69
5,Nagasaki,110.9,4.6,19.2,2.48
5,Kumamoto,110.9,4.82,19.4,2.91
5,Oita,111.2,5.05,19.6,3.18
5,Miyazaki,111.3,4.93,19.6,2.88
5,Kagoshima,110.3,4.53,19.2,2.54
5,Okinawa,110,4.97,18.9,2.8
6,national,116.7,4.92,21.7,3.5
6,Hokkaido,116.9,4.87,22,3.42
6,Aomori,117.4,4.96,22.3,4.04
6,Iwate,117.1,4.84,22.2,3.67
6,Miyagi,117.4,4.77,22.3,4.27
6,Akita,117.8,5.26,22.4,4.31
6,Yamagata,116.8,4.79,22.1,3.51
6,Fukushima,116.9,4.93,21.9,3.99
6,Ibaraki,116.6,5.24,21.8,3.59
6,Tochigi,116.7,4.64,21.9,3.74
6,Gunma,117.5,5.01,22.2,3.82
6,Saitama,116.7,5.18,21.9,3.74
6,Chiba,117,4.85,21.9,3.4
6,Tokyo,117.6,4.85,22.1,3.41
6,Kanagawa,116.6,4.73,21.5,3.11
6,Niigata,117,4.83,21.8,3.56
6,Toyama,116.8,4.71,21.6,3.5
6,Ishikawa,116.6,4.82,21.8,3.65
6,Fukui,117.5,5.07,22.2,3.56
6,Yamanashi,116.9,5.04,21.8,3.8
6,Nagano,116.7,4.79,21.5,3.2
6,Gifu,116.4,5.04,21.6,3.62
6,Shizuoka,116.6,5.21,21.8,3.76
6,Aichi,116.8,4.9,21.5,3.39
6,Mie,116.8,4.87,21.7,3.8
6,Shiga,116.8,5.08,21.6,3.47
6,Kyoto,116,4.72,21.1,2.87
6,Osaka,116.6,4.72,21.3,3.49
6,Hyogo,116.2,4.91,21.2,3.25
6,Nara,116.9,4.67,21.7,3.04
6,Wakayama,116.7,4.89,21.4,3.12
6,Tottori,116.6,4.74,21.4,3.4
6,Shimane,116.2,4.89,21.4,3.11
6,Okayama,116.2,4.84,21.3,3.37
6,Hiroshima,116.1,4.98,21.6,3.53
6,Yamaguchi,116.1,5.13,21.4,3.7
6,Tokushima,116,4.66,21.5,3.63
6,Kagawa,116.1,4.87,21.2,3.29
6,Ehime,116.1,4.77,21.5,3.21
6,Kochi,116.1,4.96,21.6,3.25
6,Fukuoka,116.1,4.97,21.4,3.66
6,Saga,116.5,4.81,21.6,3.12
6,Nagasaki,116.7,4.73,21.9,3.2
6,Kumamoto,116.7,4.93,22,3.59
6,Oita,116.5,4.7,21.7,3.16
6,Miyazaki,116.4,4.75,21.9,3.68
6,Kagoshima,116,4.98,21.3,3.36
6,Okinawa,115.8,5.27,21.4,3.71
7,national,122.6,5.22,24.5,4.38
7,Hokkaido,122.7,5.21,25,4.88
7,Aomori,123.3,5.08,25.8,4.97
7,Iwate,123.2,5.2,25.2,4.86
7,Miyagi,122.9,5.3,25.1,4.75
7,Akita,123.6,5.46,25.3,4.63
7,Yamagata,123.5,5.37,25.5,5.15
7,Fukushima,122.7,5.03,25,4.99
7,Ibaraki,122.8,5.75,24.8,5.24
7,Tochigi,122.7,5.06,24.6,4.18
7,Gunma,122.3,5.31,24.6,4.62
7,Saitama,122.6,5.31,24.6,5.24
7,Chiba,122.9,5.27,24.5,4.22
7,Tokyo,123.2,5.16,24.4,3.8
7,Kanagawa,122.4,4.88,24.2,3.8
7,Niigata,123.2,5.38,25,4.58
7,Toyama,122.7,4.67,24.6,4.3
7,Ishikawa,122.8,4.95,24.3,3.79
7,Fukui,122.9,5.11,24.7,4.29
7,Yamanashi,122.4,5.17,24.5,4.49
7,Nagano,122.5,4.98,24.2,4.01
7,Gifu,122.5,5.4,24.5,4.36
7,Shizuoka,122.3,5.3,24,4.13
7,Aichi,122.2,5.87,24.2,4.5
7,Mie,122.9,4.78,24.4,4.1
7,Shiga,123,4.96,24.4,3.88
7,Kyoto,122.6,4.91,24.2,4
7,Osaka,122.5,5.35,24.5,4.66
7,Hyogo,122.6,4.89,24.4,4.07
7,Nara,122.5,5.39,24.3,4.22
7,Wakayama,122.6,5.27,24.3,4.27
7,Tottori,122.6,4.91,24.2,4.06
7,Shimane,121.8,4.86,24,3.84
7,Okayama,122.6,5.34,24.6,4.58
7,Hiroshima,122.5,5.3,24.4,4.13
7,Yamaguchi,121.8,5.35,24.2,3.99
7,Tokushima,122.8,5.27,24.8,4.28
7,Kagawa,122.3,5.38,24.3,4.36
7,Ehime,121.9,5.55,24.2,4.38
7,Kochi,122.6,4.53,24.3,4.11
7,Fukuoka,122.6,4.85,24.2,4.36
7,Saga,122.2,5.06,24.2,3.71
7,Nagasaki,122.7,5.16,24.3,3.9
7,Kumamoto,122.3,5.05,24.8,4.89
7,Oita,122.5,5.05,24.5,4.23
7,Miyazaki,122.2,5.45,24.9,5.23
7,Kagoshima,121.8,4.62,24.2,3.76
7,Okinawa,121.9,4.98,24.5,4.38
8,national,128.3,5.48,27.7,5.48
8,Hokkaido,128.8,5.66,28.8,6.55
8,Aomori,129.7,5.58,29.7,7.16
8,Iwate,129.2,5.82,29.4,6.95
8,Miyagi,128.8,5.62,28.5,6.08
8,Akita,129.6,5.6,29.1,6.27
8,Yamagata,129.4,5.36,29.1,5.62
8,Fukushima,128.6,5.34,28.2,5.51
8,Ibaraki,128,5.72,27.9,5.55
8,Tochigi,128.4,5.4,27.9,5.51
8,Gunma,128.6,5.45,28.2,6.17
8,Saitama,128.7,5.5,27.8,5.63
8,Chiba,128.8,5.07,27.9,5.58
8,Tokyo,129,5.78,27.8,5.29
8,Kanagawa,128.3,5.42,27.6,5.28
8,Niigata,128.7,5.36,28,5.26
8,Toyama,129.2,5.27,28.4,5.29
8,Ishikawa,129.1,5.32,27.9,5.29
8,Fukui,128.7,5.17,27.8,4.65
8,Yamanashi,128.1,5.49,28,6.1
8,Nagano,128.1,5.35,27.6,5.36
8,Gifu,128.1,5.61,27.4,5.39
8,Shizuoka,127.8,5.51,27.3,6.24
8,Aichi,128,5.74,27.3,4.99
8,Mie,128.5,5.11,27.8,5.29
8,Shiga,128.3,5.23,27.3,5.08
8,Kyoto,128.4,5.29,27.3,4.65
8,Osaka,127.8,5.22,27.4,5.14
8,Hyogo,128.1,5.16,27.3,4.96
8,Nara,128.4,5.22,27.8,4.89
8,Wakayama,127.8,5.31,27.4,5.08
8,Tottori,128,4.99,27.1,4.49
8,Shimane,128.1,5.43,26.9,4.6
8,Okayama,128.2,5.44,27.6,5.46
8,Hiroshima,127.8,5.73,27.7,6.73
8,Yamaguchi,128,5.41,27.5,4.83
8,Tokushima,128.1,5.37,27.8,5.4
8,Kagawa,128.2,5.29,27.6,5.24
8,Ehime,127.5,5.35,27.3,5.14
8,Kochi,127.5,5.71,27.7,5.73
8,Fukuoka,127.9,5.26,27.3,4.74
8,Saga,128.2,5.26,27.4,5.03
8,Nagasaki,128.2,4.95,27.5,4.92
8,Kumamoto,127.8,5.73,27.7,5.82
8,Oita,128.5,5.48,28.2,5.77
8,Miyazaki,128.5,5.79,28.3,5.89
8,Kagoshima,128.2,5.78,27.9,5.63
8,Okinawa,127,5.56,27.2,5.38
9,national,133.8,5.76,31.3,6.63
9,Hokkaido,134.5,6.33,32.5,7.78
9,Aomori,134.1,5.9,32.1,6.83
9,Iwate,134.2,5.9,32.2,7.05
9,Miyagi,134.9,5.82,32.7,7.13
9,Akita,135.2,5.97,33.1,7.18
9,Yamagata,134.7,5.85,32.9,7.31
9,Fukushima,133.9,5.89,32.3,7.56
9,Ibaraki,133.6,5.58,31.8,6.7
9,Tochigi,134,6.14,31.9,6.83
9,Gunma,133.5,6,31.4,6.74
9,Saitama,134.2,5.84,31.5,6.96
9,Chiba,134.3,5.64,31.4,6.63
9,Tokyo,134.2,5.51,31.2,6.07
9,Kanagawa,133.9,6.07,31.3,6.82
9,Niigata,134.4,5.84,32.1,7.06
9,Toyama,134.3,5.59,31.9,6.52
9,Ishikawa,134.2,5.86,31.5,6.88
9,Fukui,134.2,5.69,31.3,6.5
9,Yamanashi,133.6,5.81,31.4,6.28
9,Nagano,133.4,6.03,30.7,6.32
9,Gifu,134.1,5.46,31.5,6.39
9,Shizuoka,133.4,5.78,31,6.51
9,Aichi,133.3,5.98,30.8,6.72
9,Mie,133.8,5.63,31.2,6.99
9,Shiga,134,5.56,30.9,6.07
9,Kyoto,133.9,5.33,31.1,6.02
9,Osaka,133.7,5.76,31.5,6.99
9,Hyogo,133.7,5.32,30.7,5.7
9,Nara,133.9,5.55,31.2,6.3
9,Wakayama,133.5,5.74,31.1,6.45
9,Tottori,133.7,5.68,30.6,5.87
9,Shimane,133.1,5.82,30.8,5.68
9,Okayama,133.4,5.71,30.7,6.11
9,Hiroshima,133,5.46,30.3,5.57
9,Yamaguchi,133,5.59,30.5,5.92
9,Tokushima,134.3,5.82,32.3,7.15
9,Kagawa,133.3,5.43,30.7,5.86
9,Ehime,133.6,5.59,30.7,6.08
9,Kochi,133.4,5.3,31.4,6.71
9,Fukuoka,133.4,5.48,30.8,6.72
9,Saga,133.7,5.43,30.9,5.91
9,Nagasaki,133.1,5.36,30.4,5.97
9,Kumamoto,133.9,5.65,31.5,6.59
9,Oita,133.3,5.71,31.3,6.81
9,Miyazaki,133.6,5.91,32,7.17
9,Kagoshima,133.3,5.44,31.4,6.61
9,Okinawa,132.3,5.94,30.7,6.65
10,national,139.3,6.37,35.1,7.82
10,Hokkaido,139.5,6.45,36.4,8.78
10,Aomori,140.4,6.7,36.7,8.72
10,Iwate,139.8,6.49,36.1,8.23
10,Miyagi,140.1,6.74,36,8.72
10,Akita,140.5,6.82,36.8,8.95
10,Yamagata,139.7,6.35,35.8,7.79
10,Fukushima,139.1,6.5,35.6,8.23
10,Ibaraki,139.5,6.41,36.3,8.38
10,Tochigi,139.6,6.37,35.6,8.91
10,Gunma,139.6,6.34,36.2,8.05
10,Saitama,139.5,6.32,35,7.3
10,Chiba,140,6.5,35.8,8.38
10,Tokyo,139.5,6.49,34.5,7.29
10,Kanagawa,139.5,5.91,35.1,7.04
10,Niigata,139.9,6.68,35.6,7.57
10,Toyama,140,6.24,35.7,7.73
10,Ishikawa,139.9,5.91,35.5,7.11
10,Fukui,139.1,6.26,34.4,7.41
10,Yamanashi,139,5.94,34.7,7.7
10,Nagano,139.2,6.59,35.2,8.28
10,Gifu,139.2,6.75,35.3,8.21
10,Shizuoka,138.7,6.26,34.6,7.99
10,Aichi,139.3,6.09,34.8,7.41
10,Mie,139.5,6.29,35.1,7.28
10,Shiga,139.2,5.76,34.5,6.78
10,Kyoto,139.7,6.31,34.6,7.36
10,Osaka,138.8,6.61,34.8,8.12
10,Hyogo,139.1,6.46,34.7,7.95
10,Nara,138.9,6.7,34.8,8.6
10,Wakayama,139.1,6.49,34.9,7.66
10,Tottori,138.8,6.72,33.6,7.31
10,Shimane,138.4,5.73,33.7,6.25
10,Okayama,138.7,6.2,34.6,7.69
10,Hiroshima,138.3,6.28,34.8,8.26
10,Yamaguchi,138.5,6.05,34.3,7.46
10,Tokushima,139.1,6.47,35.4,8.21
10,Kagawa,138.4,6.11,34.6,7.31
10,Ehime,138.6,5.91,34.2,7.08
10,Kochi,138.2,6.52,34.8,7.61
10,Fukuoka,139.4,6.12,35,7.52
10,Saga,139,6.05,34.8,7.47
10,Nagasaki,139,6.21,34.8,8.07
10,Kumamoto,138.9,6.49,35.3,8.17
10,Oita,139.5,6.55,36.1,8.18
10,Miyazaki,139.6,6.59,36.1,8.73
10,Kagoshima,138.8,6.39,34.8,7.7
10,Okinawa,138.1,6.42,34.1,7.45
11,national,145.9,7.27,39.6,8.98
11,Hokkaido,146.6,7.57,40.7,9.76
11,Aomori,147.6,7.79,42.1,9.7
11,Iwate,147.2,7.27,41.9,9.58
11,Miyagi,146.9,7.47,41.3,8.91
11,Akita,147.5,7.33,41.6,9.5
11,Yamagata,147.1,7.57,41.9,10.32
11,Fukushima,145.8,7.31,41,10.34
11,Ibaraki,145.9,7.49,40.4,9.76
11,Tochigi,146.9,7.31,41,10.07
11,Gunma,145.9,7.42,40.2,9.35
11,Saitama,146.7,7.53,39.8,9.17
11,Chiba,146.2,7.34,39.7,9.46
11,Tokyo,146.2,6.92,39.7,9.14
11,Kanagawa,145.7,7.42,39,8.34
11,Niigata,146.1,7.31,40,9.41
11,Toyama,146.9,7.19,40.6,9.69
11,Ishikawa,146,6.79,38.9,8.4
11,Fukui,146.2,6.81,39.5,7.49
11,Yamanashi,145.4,6.92,39.6,8.89
11,Nagano,144.9,7.43,38.4,8.34
11,Gifu,144.9,7.03,38.6,8.07
11,Shizuoka,145.1,6.65,38.9,8.75
11,Aichi,144.9,7.12,38.6,8.42
11,Mie,146,7.76,39.8,9.36
11,Shiga,146.2,7.44,38.7,8.1
11,Kyoto,145.3,7.3,38.4,8.43
11,Osaka,146.1,6.9,39.4,8.89
11,Hyogo,145.4,6.95,38.5,8.1
